"By province","By age group",2020.1/4,2020.2/4,2020.3/4,2020.4/4,2021.1/4,2021.2/4,2021.3/4,2021.4/4,2022.1/4,2022.2/4,2022.3/4,2022.4/4,2023.1/4,2023.2/4,2023.3/4,2023.4/4,2024.1/4,2024.2/4,2024.3/4,2024.4/4,2025.1/4,2025.2/4,2025.3/4,2025.4/4
"Daejeon","60 Years old and over",7.4,5.9,1.6,2.2,8.0,2.9,1.4,2.4,5.0,2.2,1.9,2.5,3.9,2.4,2.0,4.6,4.2,3.7,2.1,4.0,4.5,2.0,1.3,3.9
"Ulsan","Total",5.0,4.6,3.6,3.8,4.9,3.6,2.6,3.1,3.8,3.5,2.7,2.8,4.0,3.5,2.8,3.5,4.4,3.7,3.4,3.3,2.6,2.3,1.7,2.7
"Ulsan","15-29 Years old",12.2,12.1,11.1,10.8,9.3,8.9,6.9,6.7,7.9,9.0,8.1,5.8,9.2,12.2,8.8,8.4,12.3,9.7,9.5,7.7,4.3,7.5,5.7,5.1
"Ulsan","30-59 Years old",3.1,3.2,2.4,2.6,3.0,2.7,2.0,2.1,2.4,2.8,1.9,1.6,2.4,1.9,1.8,2.0,2.8,2.9,2.5,1.9,1.8,1.4,0.9,1.3
"Ulsan","60 Years old and over",7.1,4.7,2.7,3.7,9.9,4.0,2.5,4.9,6.7,2.5,2.0,5.3,6.5,3.1,2.5,5.8,5.0,3.0,3.1,5.7,4.1,2.3,1.7,6.1
"Sejong","Total",3.0,3.3,2.8,1.8,3.2,2.1,1.6,1.4,2.5,2.3,1.9,1.4,2.3,2.4,2.0,1.5,2.1,1.8,1.8,1.8,3.0,2.2,2.2,2.2
"Sejong","15-29 Years old",7.8,13.0,7.2,1.8,7.0,5.3,1.7,1.5,1.9,4.6,4.5,1.4,5.2,8.0,6.5,6.1,5.0,6.7,3.6,4.3,9.2,6.6,5.3,2.7
"Sejong","30-59 Years old",1.7,1.7,2.1,1.7,2.0,1.7,1.6,1.3,2.5,1.7,1.4,1.4,1.7,1.7,1.4,0.8,1.1,1.0,1.5,1.3,1.6,1.6,1.7,1.5
"Sejong","60 Years old and over",7.1,2.8,1.8,2.4,7.3,1.2,1.2,1.6,3.4,3.1,2.5,1.1,3.2,1.5,1.5,2.0,4.8,1.6,1.5,2.5,4.9,1.8,2.5,5.5
"Gyeonggi-do","Total",4.2,4.1,3.8,3.8,4.7,4.2,3.0,2.8,3.0,3.0,2.5,2.4,2.8,2.7,2.5,2.4,3.1,2.9,2.0,2.4,2.8,2.6,2.3,2.9
"Gyeonggi-do","15-29 Years old",8.9,8.9,8.6,7.9,9.8,9.7,5.2,5.7,5.9,6.7,6.0,5.5,6.2,4.4,3.9,4.3,5.8,5.8,4.4,5.7,4.8,5.5,5.1,6.4
"Gyeonggi-do","30-59 Years old",2.8,3.1,2.9,3.1,3.2,2.8,2.3,2.1,1.8,2.2,2.0,1.8,2.0,2.4,2.4,2.0,2.3,2.1,1.6,1.7,1.9,2.1,2.1,2.3
"Gyeonggi-do","60 Years old and over",5.9,3.3,2.8,3.0,6.3,4.7,3.8,3.1,4.9,2.4,1.3,1.8,3.2,2.7,1.8,2.3,4.0,3.2,1.7,2.2,4.4,2.5,1.3,2.4
"Gangwon-do","Total",5.1,3.8,3.0,3.9,5.9,2.8,2.3,3.7,4.7,2.5,2.2,3.4,4.6,2.2,1.6,2.8,4.5,2.3,1.3,3.1,3.8,1.8,1.8,3.1
"Gangwon-do","15-29 Years old",8.9,9.5,8.7,7.4,8.7,9.1,7.9,6.8,9.4,8.1,6.4,6.0,6.3,5.6,4.5,4.4,6.6,3.9,1.8,2.2,5.1,2.7,4.0,4.8
"Gangwon-do","30-59 Years old",2.7,3.0,2.3,2.0,2.9,2.2,1.8,2.1,2.0,1.7,1.8,2.0,2.6,1.7,1.1,1.6,2.5,2.3,1.5,1.6,1.9,1.9,1.6,1.6
"Gangwon-do","60 Years old and over",9.0,3.1,1.8,6.5,11.7,1.3,0.9,5.5,8.5,1.8,1.5,5.0,7.7,1.8,1.5,4.4,7.6,1.7,0.8,6.0,6.9,1.4,1.3,4.9
"Chungcheongbuk-do","Total",3.7,3.1,3.0,2.9,3.5,2.5,2.0,1.9,3.2,2.7,2.1,1.8,3.2,2.2,1.8,2.0,3.0,2.0,1.7,2.3,2.7,1.8,1.0,1.5
"Chungcheongbuk-do","15-29 Years old",7.7,10.2,8.0,6.6,5.6,8.5,6.5,3.2,5.6,7.6,5.7,2.7,5.3,6.4,4.8,5.1,5.5,6.6,4.6,4.8,5.4,5.6,2.5,1.2
"Chungcheongbuk-do","30-59 Years old",2.3,1.8,1.9,2.0,2.1,1.3,1.2,1.4,2.2,2.0,1.7,1.3,1.9,1.3,1.2,1.2,2.1,1.3,1.3,1.5,1.5,1.1,0.6,0.6
"Chungcheongbuk-do","60 Years old and over",5.1,2.2,2.8,3.1,6.3,1.6,1.2,2.6,4.5,1.5,1.1,2.4,5.3,2.0,1.5,2.1,3.7,1.3,1.2,2.9,4.1,1.6,1.3,3.5
"Chungcheongnam-do","Total",3.9,4.0,2.9,3.1,3.7,2.7,1.3,1.5,2.9,2.8,1.9,1.8,3.2,2.4,2.2,2.6,4.1,3.2,2.2,2.3,3.7,2.8,2.2,2.2
"Chungcheongnam-do","15-29 Years old",8.4,10.4,7.9,7.1,6.7,5.8,3.0,4.1,5.0,7.2,4.3,3.7,7.3,8.2,8.4,7.5,7.2,9.7,5.2,2.4,6.8,6.3,4.9,5.0
"Chungcheongnam-do","30-59 Years old",2.7,3.1,2.5,2.7,3.1,2.6,1.2,1.1,2.1,2.2,1.6,1.4,1.9,1.7,1.3,2.0,2.6,2.3,2.1,2.3,2.4,2.5,2.1,1.6
"Chungcheongnam-do","60 Years old and over",4.4,2.5,1.1,1.9,3.6,1.6,0.4,0.8,3.9,1.6,1.4,1.6,4.3,1.1,1.2,1.4,6.2,2.1,1.3,2.2,5.3,1.8,1.2,2.3
"Jeollabuk-do","Total",2.8,2.8,1.9,2.4,2.8,2.2,1.7,2.1,2.9,2.5,1.7,2.6,2.8,2.8,1.9,2.5,2.5,2.5,1.7,3.4,3.3,2.5,1.7,3.5
"Jeollabuk-do","15-29 Years old",10.6,11.0,8.5,6.8,7.7,8.8,4.8,2.1,5.7,7.5,6.6,6.7,9.0,12.2,8.3,6.5,7.1,11.4,7.5,8.3,10.5,9.0,8.7,6.9
