"Period","City_Province","Retail_Sales","Population","Population_Male","Population_Female","Population_15_29","Population_30_59","Population_60_Plus","Population_below_15","Unemployment_Rate_15_29","Unemployment_Rate_30_59","Unemployment_Rate_60_Plus","Number_of_Households","Household_Size","Retail_Sales_Per_Household"
"2020.02","Seoul","1287613","9736962.0","4745133.0","4991829.0","1898818","4609082","2200059","1029003","8.9","3.2","5.0","4345877.0","2.240505656280654","0.2962838110696644"
"2020.02","Ulsan","111768","1145710.0","588626.0","557084.0","208332","560224","218719","158435","12.2","3.1","7.1","469551.0","2.440011841099263","0.23803165151389305"
"2020.03","Busan","355030","3409932.0","1672252.0","1737680.0","586753","1526967","926919","369293","9.2","2.4","6.1","1505897.0","2.264385944058591","0.23575981624241232"
"2020.03","Chungcheongbuk-do","75438","1597639.0","809369.0","788270.0","279679","714900","403685","199375","7.7","2.3","5.1","725289.0","2.2027619335189144","0.10401095287533658"
"2020.03","Chungcheongnam-do","111030","2119749.0","1080705.0","1039044.0","349878","944475","546678","278718","8.4","2.7","4.4","963547.0","2.1999435419341244","0.11523049731876078"
"2020.03","Daegu","211357","2433568.0","1202273.0","1231295.0","449716","1122200","569518","292134","9.7","2.5","4.9","1037956.0","2.3445772267803258","0.20362809213492672"
"2020.03","Daejeon","145830","1471858.0","735179.0","736679.0","293619","682928","305528","189783","8.0","3.7","7.4","638921.0","2.3036619550773882","0.2282441804229318"
"2020.03","Gangwon-do","71575","1538577.0","773983.0","764594.0","256238","665340","444244","172755","8.9","2.7","9.0","721794.0","2.1316012601933516","0.0991626419726404"
"2020.03","Gwangju","116026","1455705.0","720460.0","735245.0","295444","669307","291524","199430","7.3","2.7","4.4","620050.0","2.3477219579066206","0.18712361906297878"
"2020.03","Gyeonggi-do","1175721","13288975.0","6684759.0","6604216.0","2478049","6421629","2567297","1822000","8.9","2.8","5.9","5514938.0","2.4096327102861355","0.21318843475665547"
"2020.03","Gyeongsangbuk-do","90788","2653418.0","1336289.0","1317129.0","413487","1154302","780459","305170","8.6","3.1","4.8","1231572.0","2.1544968544267","0.07371716797718687"
"2020.03","Gyeongsangnam-do","174017","3355341.0","1689137.0","1666204.0","556042","1543306","816716","439277","9.9","3.0","4.1","1458567.0","2.3004366614629292","0.11930682649477192"
"2020.03","Incheon","175025","2952689.0","1479839.0","1472850.0","552631","1420589","607731","371738","7.9","3.0","8.1","1243983.0","2.3735766485554866","0.14069726033233573"
